ID,Name,Email,Phone,Parent_Group_ID,URI,NLA_Party_Identifier,Homepage,Description
514,"DVCTLE SSU.Student Life",,,DVCTLE,,,,
449,"DVCTLE SSU.Careers Service",,,DVCTLE,,,,
450,"DVCTLE SSU.Counselling Service",,,DVCTLE,,,,
271,"DVCTLE LIB.Monographs",,,DVCTLE,,,,
408,"DVCTLE.Student Ombuds Office",,,DVCTLE,,,,
242,"DVCTLE.Institute for Interactive Media and Learning",,,DVCTLE,,,,
FASS,"Faculty of Arts and Social Sciences",,,,,,,
959,"FASS.ADMIN Finance",,,FASS,,,,
1408,"FASS.Research in Learning and Change",,,FASS,,,,
968,"FASS.Journalism, Information & Media Studies Group",,,FASS,,,,
966,"FASS.Cultural Studies Group",,,FASS,,,,
957,"FASS.ADMIN Executive Support",,,FASS,,,,
970,"FASS.Social and Political Change Group",,,FASS,,,,
1467,"FASS.Australian Centre for Child and Youth",,,FASS,,,,
288,"FASS.A/DEE.Australian Centre for Public Communication",,,FASS,,,,
965,"FASS.Creative Practices Group",,,FASS,,,,
1407,"FASS.Deputy Dean",,,FASS,,,,
962,"FASS.ADMIN Research Office",,,FASS,,,,
955,"FASS.Faculty of Arts and Social Sciences",,,FASS,,,,
287,"FASS.A/DEE.Australian Centre for Independent Journalism",,,FASS,,,,
964,"FASS.Communication & Learning Group",,,FASS,,,,
289,"FASS.A/DEE.Australian Centre for Public History",,,FASS,,,,
973,"FASS.A/DR&D China Research Centre",,,FASS,,,,
961,"FASS.ADMIN Media Lab",,,FASS,,,,
956,"FASS.Faculty Administration",,,FASS,,,,
963,"FASS.ADMIN External Engagement",,,FASS,,,,
297,"FASS.UTS Training and Development Services",,,FASS,,,,
958,"FASS.ADMIN Facilities and Operations",,,FASS,,,,
969,"FASS.Language Studies Group",,,FASS,,,,
1409,"FASS.Creative Practices & Cultural Economy",,,FASS,,,,
967,"FASS.Education Group",,,FASS,,,,
960,"FASS.ADMIN Academic Programs",,,FASS,,,,
972,"FASS.A/DR&D Centre for Health Communications",,,FASS,,,,
DVCI,"DVC (International & Development)",,,,,,,
1328,"DVCID.External Engagement",,,DVCI,,,,
642,"DVCInt.International Recruitment",,,DVCI,,,,
1329,"DVCID.International Engagement",,,DVCI,,,,
1127,"DVCID.International Relations and Policy",,,DVCI,,,,
1126,"DVCID.UTS Shopfront",,,DVCI,,,,
405,"DVCInt.UTS Gallery",,,DVCI,,,,
644,"DVCInt.Policy and Development",,,DVCI,,,,
1125,"DVCInt.Development Office",,,DVCI,,,,
1327,"DVCID.Alumni and Development",,,DVCI,,,,
643,"DVCInt.International Relations and Services",,,DVCI,,,,
274,"DVCInt.Deputy Vice-Chancellor (International)",,,DVCI,,,,
645,"DVCInt.Divisional Services",,,DVCI,,,,
1128,"DVCID.International Promotions and Research",,,DVCI,,,,
252,"DVCInt.UTS International",,,DVCI,,,,
AO,"Design, Architecture and Building",,,,,,,
1387,"DAB.Designing Out Crime Research Centre",,,AO,,,,
684,"DAB.Student Administration",,,AO,,,,
689,"DAB.School of Built Environment",,,AO,,,,
685,DAB.Technical,,,AO,,,,
683,DAB.Secretariat,,,AO,,,,
688,"DAB.School of Architecture",,,AO,,,,
224,"DAB.Faculty of Design, Architecture and Building",,,AO,,,,
702,DAB.Finance,,,AO,,,,
682,DAB.Executive,,,AO,,,,
687,"DAB.School of Design",,,AO,,,,
FEIT,"Faculty of Engineering & Information Technology",,,,,,,
937,"FEIT.A/DRsch Ctre for Water & Environ Resource Mgmnt",,,FEIT,,,,
934,"FEIT.A/DRsch Ctr Quantum Computat'n & Intelligent Systs",,,FEIT,,,,
129,"FEIT.A/DRsch Ctre for Electrical Machinery and Power",,,FEIT,,,,
926,"FEIT.School of Software",,,FEIT,,,,
933,"FEIT.A/DRsch Ctre for Autonomous Systems",,,FEIT,,,,
954,"FEIT.A/DRsch Ctre for Real-Time Information Networks",,,FEIT,,,,
922,"FEIT.Faculty of Engineering & Information Technology",,,FEIT,,,,
936,"FEIT.A/DRsch Ctre for Human Centred Technology Design",,,FEIT,,,,
953,"FEIT.A/DRsch Ctre for Intelligent Mechatronic Systems",,,FEIT,,,,
928,"FEIT.School of Systems, Management and Leadership",,,FEIT,,,,
254,"FEIT.A/DRsch Ctre for Built Infrastructure",,,FEIT,,,,
927,"FEIT.School of Computing and Communications",,,FEIT,,,,
923,"FEIT.Faculty Administration",,,FEIT,,,,
932,"FEIT.A/DIntED Technical",,,FEIT,,,,
924,"FEIT.School of Civil and Environmental Engineering",,,FEIT,,,,
257,"FEIT. A/DRsch Ctre for Health Technologies",,,FEIT,,,,
925,"FEIT.School of Elec, Mech and Mechatronic Systems",,,FEIT,,,,
OTHER,"Whole of University",,,,,,,
722,"VC.Vice-Chancellor's Office",,,OTHER,,,,
184,"2SER Radio Station",,,OTHER,,,,
179,"VC.Vice Chancellor & President",,,OTHER,,,,
293,"University of Technology, Sydney",,,OTHER,,,,
BO,Business,,,,,,,
276,"BUS.School of Accounting",,,BO,,,,
437,"BUS.International Programs",,,BO,,,,
208,"BUS.Centre for the Study of Choice",,,BO,,,,
280,"BUS.School of Marketing",,,BO,,,,
202,"BUS.Centre for Health Economics Research and Evaluation",,,BO,,,,
438,"BUS.Computing Services Unit",,,BO,,,,
260,"BUS.KURC: Quantitative Finance Research Centre",,,BO,,,,
1347,BUS.Finance,,,BO,,,,
222,"BUS.Executive Development Unit",,,BO,,,,
235,"BUS.Graduate School of Business",,,BO,,,,
439,"BUS.Faculty Facilities Unit",,,BO,,,,
432,"BUS.Australian Centre for Olympic Studies",,,BO,,,,
284,"BUS.Student Liaison Unit",,,BO,,,,
435,"BUS.The Dean's Unit",,,BO,,,,
223,"BUS.Faculty of Business",,,BO,,,,
1348,BUS.Economics,,,BO,,,,
279,"BUS.School of Management",,,BO,,,,
255,"KURC for Corporate Governance",,,BO,,,,
277,"BUS.School of Finance and Economics",,,BO,,,,
258,"BUS.KURC for Innovation Collaborations, Alliances & Networks",,,BO,,,,
192,"BUS.Business Faculty Administration",,,BO,,,,
278,"BUS.School of Leisure, Sport and Tourism",,,BO,,,,
196,"BUS.Centre for Aust Community Organisations and Management",,,BO,,,,
JO,"Faculty of Health",,,,,,,
JG,"Graduate School of Nursing",,,JO,,,,
JHSM,"Health Services Management",,,JO,,,,
1267,"FOH.Centre for Cardiovascular and Chronic Care NMH.Centre for Cardiovascular and Chronic Care",,,JO,,,,
200,"FOH.Center for Midwifery, Child and Family Health",,,JO,,,,
203,"FOH.Centre for Health Services Management",,,JO,,,,
228,"FOH.Faculty of Health",,,JO,,,,
JMCFH,"Midwifery, Child and Family Health",,,JO,,,,
JH,"School of Nursing Health Studies",,,JO,,,,
JT,"Clinical Nursing: Practices and Outcomes",,,JO,,,,
