ID,"Submit Year","Start Year",Title,Description,Institution,Investigators,Discipline
LE0989506,2008,2010,"A high performance computing cluster and storage for the INTERSECT Consortium of NSW","Computational simulation and modelling is a critical element in the advancement of knowledge in science and technology, with cutting-edge research requiring multi-teraflop capacity infrastructure.  Presently, the NSW universities' access to systems of appropriate capacity is limited, hampering research progress in a number of intensely competitive fields.  The proposed 10 teraflop cluster will boost local access to supercomputing capacity ten fold, and support ARC projects in chemistry, photonics, materials science and nanotechnology, mathematics, physics, engineering, earth systems, and the biosciences, many of which are directed towards national priorities in frontier technologies and Australian environmental sustainability.'","University of Technology, Sydney","Dr Christopher G Poulton; A/Prof Michael J Ford; Prof Lindsay C Botten; Dr Adel Rahmani; Prof Steve Armfield; A/Prof Serdar Kuyucak; Dr Geraint Francis Lewis; Prof Ross C McPhedran; Prof Dietmar Muller; Prof Leo Radom; Prof Hussein Aly Abbass; Dr Graham Edwin Ball; Dr Robert James Bursill; Prof Matthew England; Dr Rita Khanna; Prof Eddie Leonardi; Prof A J Pitman; Prof Marc R Wilkins; A/Prof Karu Esselle; Prof Shoba Ranganathan; Dr Michael J Steel; A/Prof Frans Alexander Henskens; Prof Ellak Imre von Nagy-Felsobuki; A/Prof Timothy Robert Marchant; Ms Helen E Thomson","High performance computing, Photonics, Earth systems science and Climate change, Computational Chemistry, Materials science and nanotechnology, Computational science and engineering,"
DP110101999,2010,2011,"Sociophysical Interactions: understanding the role of social and tangible technologies in maintaining good habits into old age","How can technology help us `age well+? We will study, design and evaluate novel information systems that integrate and support social engagement and physical activity in order to (a) build foundational knowledge about these technologies and (b) maintain the opportunities for social engagement and physical activity in our ageing population.","University of Technology, Sydney","Prof Toni J Robertson; Dr Margot Felicity Brereton; Dr Frank Vetere; Prof Steve Howard; Prof Yvonne Rogers","Human Computer Interaction, Human-Centred Design, Social Technologies, Ageing, User Experience, Embedded Interactions, Tangible Technologies"
DP110101362,2010,2011,"A theoretical hierachy to investigate the electronic behaviour of graphene nanostructures under realistic conditions",,"University of Technology, Sydney","Dr Amanda Barnard; Prof Ian Keith Snook",
NY10024,2010,2010,"Indoor-plant technology for health and environmental sustainability",,"University of Technology, Sydney","Prof Margaret Burchett; Dr Luigi F De Filippis; Ms Olivia Parker; Ms Lyndall Miller",
APP1000967,2009,2010,"National Centre of Research Excellence to Improve Management of Peripheral Arterial Disease",,"University of Technology, Sydney","Prof Jonathon Gollege; Dr Sally Inglis",
2010003803,,2011,"SEA SERPENT Project ENI Research Plan 2011",,"University of Technology, Sydney","Prof David J Booth; Ms Kim Warburton; Mr Patutai T Toki",
DP110103091,2010,2011,"Microscale insights into ocean-scale processes: Microbial behaviour as a driver of ocean biogeochemistry","Microscopic plankton regulate the ocean's chemical cycles, which ultimately support life on earth. However, the ecological interactions driving these processes are poorly understood. This project will use novel approaches to decipher the behaviours of marine microbes, providing a more complete perception of how ocean ecosystems operate and influence climate.","University of Technology, Sydney","Dr Justin R Seymour; Dr Gene Tyson; A/Prof Roman Stocker; Dr Yvonne Cheng","Microbial Behaviour, Chemotaxis, Ocean Biogeochemistry, Plankton, Biological Oceanography"
DP1096847,2009,2010,"An Innovative Powertrain Architecture and Optimal Energy Management for Plug-in Hybrid Electric Vehicles","This project aims to develop a novel powertrain architecture and energy management strategies for plug-in hybrid electric vehicles. It focuses on the development of integral system specifications, optimal energy management methods, a specific automatic transmission and maximal use of regenerative braking. It explores new approaches for controlling clutches and motor input to improve vehicles  driveability and gear shift quality. The research intends to develop frontier technologies and new methods for designing vehicles that consume minimal energy, produce far less air pollution and are cost effective in use. The technology will enhance the local automobile industry s competitive edge - a significant contribution to the nation s economy.","University of Technology, Sydney","Prof Nong Zhang; Prof Jianguo Zhu; Dr Haiping  Du; TBA Research-Student","plug in hybrid electric vehicle; vehicle powertrain; vehicle transmission; multi body system dynamics; regenerative braking;"
298267,2011,2012,"Koutalianos v Mercedes Benz re fire (2011001751)",,"University of Technology, Sydney","Dr Robert (Bob) William Jones; Mr Wai Kaey Soon; Ms Debra Johnson; Ms Belinda Speirs",
DP120102010,2011,2012,"Identifying how bacterial cells find their middle: a new perspective","Spatial regulation of cell division is vital to ensure equal partitioning of DNA into newborn cells. Positioning of the division site in bacteria is an area of research considered to be 'done and dusted'. However, our recent discoveries have led to an entirely different model for division site placement in bacteria that proposes direct roles for DNA replication and chromosome organization. This project combines newly developed technology, with complementary expertise in bacterial cell division and DNA replication, to test this model and facilitate our understanding of this fundamental process crucial to bacterial growth and infection.","University of Technology, Sydney","Prof Elizabeth Harry; Prof Naotake Ogasawara; Dr Nerida A Cole","cell divisionbacteriaDNA replication"
LP0883942,2007,2010,"Innovative Retrofitting Techniques for the Protection of Anchorage Zones in Cable-Stayed Bridges Subjected to Blast Loads","The project will seek to develop an innovative technology to retrofit anchorage zones in cable-stayed bridges subjected to close-in detonations and severe impulsive loading, through a comprehensive theoretical and experimental study. The innovative material used for the strengthening purposes developed as a part of the study will greatly assist engineers in protection and retrofitting schemes of bridges. The results can be communicated directly to the relevant authorities, thus improving Australia's capabilities in dealing with extreme events.","University of Technology, Sydney","Prof Bijan Samali; Prof Priyan Mendis; Ms Adizatu Yunusa; Prof Brian Uy","Bridges; high strength concrete; anchorage; high strength steel; blast loading; advanced materials."
GNT9000142,,2012,"NHMRC Standard Equipment Grant 2012 - GNT9000142",,"University of Technology, Sydney","Ms Jaine P Stockler; A/Prof Mary Bebawy; Dr Heidi J Worsley",
LP120200079,2011,2012,"Chip liquid chromatography-inductively coupled plasma-mass spectrometry: A new hyphenated microfluidic instrument for metallomics","This project will develop the next generation of hyphenated microfluidic chip liquid chromatography-inductively coupled plasma-mass spectrometer (chipLC-ICP-MS) for metallomics. We will develop an interface to efficiently couple a chipLC system with an ICP-MS. A pneumatically-assisted nebuliser will be integrated within the ChipLC. This configuration will be superior to current nano-LC-ICP-MS instruments, notably by eliminating complicated, tedious capillary connectors. Incorporating 2 columns in chip configurations will enable multidimensional liquid chromatography separations. Outcomes will include a robust, highly sensitive and easy-to-use instrument for biological applications and Australian leadership in metallomic research.","University of Technology, Sydney","A/Prof Philip A Doble; Dr Mirek Macka; Dr Rudolf Grimm; Mr Frederick Ian Fryer; Ms Lee Williamson; Ms Natalie Chung","metallomics,microfluidic systems,Lab-on-a-chip"
DP120101901,2011,2012,"The Geography of Power in China: Urban Expansion and Administrative Empire","Over the past 30 years, hundreds of new cities and new types of cities have emerged in China. This project will analyze urban expansion through dynamics of the administrative hierarchy, China's spatial governing system of provinces, cities, counties and towns, to discover how changes to the hierarchy have propelled domestic growth while invigorating power of the Chinese Communist Party. Visions of urban futures emerge in the interests and actions of urban officials, who strategically advance political and economic goals through personal projects and state ideology. Comparison of seven cities will demonstrate how governing interests in China are constituted in different places and regions and their networks of power.","University of Technology, Sydney","Prof Carolyn Cartier; Miss Minglu Chen; Prof George CS Lin; Prof Junde Liu; Dr Heidi J Worsley","Chinagovernmentalitypolitical ideologyspace and placeurban history"
0298147,2011,2011,"Engineering consultancy services relating to trampoline research and development (services are subject to a confidentiality agreement)",,"University of Technology, Sydney","A/Prof David M Eager; Ms Debra Johnson; Mr Joe Andon",
LP100100494,2009,2010,"A new end use of recycled water for sustainable Australian water","Sustainable water usage is becoming an increasingly important issue, both in Australia and internationally. This research will develop methods to ensure more cost effective recycled water schemes as well as identifying methods that could potentially save significant quantities of water. A key aspect of this is developing recycled water quality criteria and specific treatment requirements; this will also help alleviate public concerns about the use of recycled water. This will culminate in a novel concept of using recycled water for clothes washing machines, which will improve water sustainability and demonstrate the possibilities for recycled water usages.","University of Technology, Sydney","A/Prof Huu H Ngo; Dr Wenshan Guo; A/Prof Richard P Lim; Prof Rosemary R Johnston; Ms Maria Joao H.D.S. Lategan; Mr Andrzej Listowski; Ms Kelly O'Halloran","Recycled water, Recycled water quality criteria, clothes washing machine, pre-treatment system, assessment model, implementation program"
APP102445,2011,2012,"High Risk Prescribing in older Australians",,"University of Technology, Sydney","A/Prof Rosalie C Viney; Prof Emily Banks; Prof David Le Couteur; Dr Heidi J Worsley",
543402,,2009,"The Ongoing Evolution of Class 1 Integrons and the Recruitment of New Resistance and Virulence Genes into Pathogens",,"University of Technology, Sydney","Prof Harold Stokes; Prof Michael Gillings; A/Prof Andrew J Holmes; A/Prof Jonathan Iredell; Dr S R Partridge",
APP1021479,2011,2012,"Targeting nucleic acid synthesis and cell division in gram-negative bacterial pathogens",,"University of Technology, Sydney","Prof Elizabeth Harry; Prof Nicholas Edward Dixon; Dr Peter J Lewis; Dr Nerida A Cole",
DP0986951,2008,2009,"Optimisation of the electrical and optical properties of ZnO nanowires for advanced nanodevice applications","This project aims to devise original methods to fabricate ZnO nanowires with specified dimensions and opto-electronic properties. We will exploit recent advances in scanning electron microscopy to directly study at high magnification nanowires as they grow. Detailed characterisation of individual nanowires will establish precise relationships between their physical properties, dimensions and a broad range of growth conditions. Reproducible growth of ZnO nanowires with prescribed electronic and luminescence properties will enable the development of the next generation of nano-devices, such as high performance solar cells, ultra high sensitivity sensors and ultra high speed-electronics.","University of Technology, Sydney","Prof Matthew R Phillips; Dr Cuong Ton-That; Dr Axel V Hoffmann; Prof Marek Godlewski","Zinc Oxide, Nanowire, Materials Engineering, Nanotechnology, Spectroscopy, Microcharacterisation,"
G2010/7552,2010,2010,"Families & heroes: George Nelson & the international pathways of an Aboriginal family history","George Nelson has lived an extraordinary life, as a highly successful professional athlete; but he is also the nephew & grandson respectively of renowned activists Shadrach James, Ada cooper & thomas James of Cummeragunja. As well as a story of passionate commitment to justice, this Aboriginal history includes Thomas James' childhood on Mauritius, where he grew up as Shadrach Thomas James Peersaheb a Muslim within the Peersaheb family, the son of an official interpreter. George Nelson's search for his family history, in Australia & Mauritius, is the core of this project.","University of Technology, Sydney","Prof Heather Goodall; Ms Olivia Parker; Ms Robynne Nelson",
0298333,2012,2012,"Subcontract to PWC for midwifery expertise for project with the Australian Health Practitiioner Regulation Agency (AHPRA)",,"University of Technology, Sydney","Prof Caroline S Homer; Ms Debra Johnson; Ms Kelly Skene",
ACSRF01280,2012,2012,"Collaboration with Peking University in the field of Requirements Engineering for IT services","1032111 - external activity code  2032090 - Internal activity Code","University of Technology, Sydney","Prof Didar Zowghi; Ms Cheryl B Stephenson",
0298102,2009,2010,"Stress analysis of cladding granite stones (BP2) in building structures",,"University of Technology, Sydney","Prof Bijan Samali; Mr Craig A Archer; Mr Marc Zobec",
0298168,2011,2011,"Wood Pole Testing Technique Project - Horizon Power",,"University of Technology, Sydney","Prof Keith I Crews; Mr Justin Murphy; Ms Debra Johnson",
1009178,2010,2011,"Strengthening frontline clinicians' infection control: A multi method study to reduce MRSA infection and transmission","This innovative project seeks to change health care worker (`HCW') beliefs and practices about infection control in order to lower hospital-acquired infection (`HAI') rates. This aim is realized by: - continuous surveillance of methicillin resistant Staphylococcus aureus (`MRSA') colonization and infection rates; rapid identification, by routine strain typing, and rapid reporting of MRSA transmission events, and - providing feedback to frontline clinicians combining MRSA reporting with `video reflexive ethnography' and hand-washing audit data targeting HCWs' infection control awareness.","University of Technology, Sydney","Prof Roderick A Iedema; Ms Helen E Thomson; Prof Gwendolyn Gilbert; Dr Claire Hooker; Matthew Sullivan; Dr Christine  Jorm; A/Prof Jeremy Chapman; Ms Penelope Clark; Ms Kathy Dempsey; Dr Nimalan Pathma-Nathan; Dr Graham Reece; Ms Jo Tallon; Adj/Prof John Wakefield; Dr Nerida A Cole",
298303,2012,2012,"EO - Phillip Hugh Ridge & Anor ats Howard Graham Courts",,"University of Technology, Sydney","Mr Noel J. Carmody; Mr Peter Ford; Ms Debra Johnson",
0198449,2011,2012,"Litmus Group - TMA suite (on-going)",,"University of Technology, Sydney","Mr Brian D Leis; Mr Paul Vorbach; Mrs Rosemary A Douglas; Christopher Lee; Prof Peter A Wells; Mr Jason Harris",
LE120100056,2011,2012,"Design and Art Australia Online: sustainable data sharing for australian reserachers and collections - UNSW administered LIEF",,"University of Technology, Sydney","Prof Ross Harley; Prof Jill Bennett; Prof Jaynie Anderson; Prof Andrew Ledbury; Dr Deb Verhoeven; Prof Peter K McNeil; Prof Harriet Edquist; Prof Heinrich Schmidt; Prof Ken Friedman; Prof Marie Sierra; A/Prof Catherine Speck; A/Prof Joanna Mendelssohn; A/Prof Paul Thomas; Dr Jennifer Biddle; Dr Anthony White; Dr Catherine De lorenzo; Dr Anita Julia Callaway; Mr Sebastian Chan",
LE100100059,2009,2010,"Dual frequency identification SONAR (DIDSON) facility for sampling benthic and pelagic fish populations","Many Australians enjoy marine and freshwater resources and we are exploiting fisheries and waterways in particular, at an increasing rate. Effective management of fisheries requires understanding the abundance and behaviour of fish. The facility will provide novel acoustic video technology for researchers to count fishes and sharks near weirs, under wharves or logs, within seagrass beds. The DIDSON will also allow accurate and standardised study of fish movements in response to floods, algal blooms or re-stocking events without disturbing the fish or their habitats. This will enhance our understanding of the top-down control by fish or aquatic ecosystems that are directly adjacent to human activity.","University of Technology, Sydney","A/Prof Iain Suthers; Prof David J Booth; Dr Matthew Taylor; Dr Robert C Brooks; Prof Richard Kingsford; A/Prof Robert Geoffrey Harcourt; Prof William Gladstone; A/Prof Andy Davis","Sonar, riverine ecology, estuarine ecology, fish behaviour, fish population and dynamics, fish migration"
298247,2012,2012,"Retainer for the services of Prof Keith Crews as a reviewer of work in relation to Western Power's wood pole electricity distribution system in the Southwest of Western Australia (2012000106)",,"University of Technology, Sydney","Prof Keith I Crews; Ms Debra Johnson; Mr Don Saunders",
6000045455,,2012,"Provision of Health Economics Advice for Schedule 4/Multi-Criteria Analysis Process",,"University of Technology, Sydney","Prof Jane P Hall; Ms Kim Warburton; A/Prof Rosalie C Viney; Prof Marion R Haas; A/Prof Stephen Goodall; Ms Paula A Cronin; Ms Patricia M Kenny; Dr Manish Arora",
LE100100272,2009,2010,"Bringing Australian free-access legislation to international best practice standards","AustLII will build on its prior work to develop a comprehensive free-access online legislation system for all Australian jurisdictions to best practice standards.","University of Technology, Sydney","Prof Andrew S Mowbray; Prof Graham William Greenleaf; Prof Stephen Bottomley; Prof Ross Grantham; Prof Ari Freiberg; Ms Patricia Blazey; Mr John Selby; Ms Liz O'Donnell",
48379/13,,2011,"Civil Society WASH Fund Monitoring Review Panel Team Leader (2011-12) (48379/13)",,"University of Technology, Sydney","Dr Juliet R Willetts; A/Prof Michael Paddon; Ms Vicky Boutas",
DP1092868,2009,2010,"Choice experiments to improve predictive power for policy makers","Choice experiments are used extensively by decision makers to predict the potential public benefit of proposed policy changes. However, often the choice experiment used only allows for the estimation of parameters in a main effects model. When this model is inappropriate, typically because of the existence of interaction terms, the parameters are biased and inaccurate predictions can result. The reason that decision makers use these designs is that appropriate designs for the estimation of more complicated models are not available. This project will construct suitable designs for these models, thus leading to more accurate predictions and better decision making.","University of Technology, Sydney","Prof Deborah Street; A/Prof Diane Margaret Donovan; TBA Research-Student; TBA Research-Student2","Stated preference choice experiments; Discrete choice experiments; Orthogonal arrays; Balanced incomplete block designs; Health economics;"
38/09-10,2009,2010,"Addressing the 'crime problem' of the Northern Territory Intervention: alternate paths to regulating minor driving offences in remote communities",,"University of Technology, Sydney","Dr Thalia Anthony; Dr Harry Blagg; Ms Olivia Parker",
DP120103165,2011,2012,"Australian supply chain regulation: practical operation and regulatory effectiveness",,"University of Technology, Sydney","Dr Michael J Rawling; Prof Richard Johnstone; Dr Nerida A Cole",
LP0990875,2009,2010,"Investigating Mismatches Between Australian International Graduate Destinations and Skill Shortages","This project examines the extent to which Australia's current skills shortage can be addressed by changes to the training and recruitment of international graduates form Australian universities, Australia does not employ its international graduates to the extent that other countries do (e.g. USA) despite the fact that these graduates have necessary professional skills, are familiar with Australian culture and have studied in English. This project will inform the evidence base on the successful recruitment and employment of skilled international graduates into the professions. This study identifies the inhibiting factors and proposes solutions for universities, government, employers and graduates.","University of Technology, Sydney","Prof Lesley E Farrell; Ms Adizatu Yunusa; Prof Jill Blackmore; Dr Ruth Arber; Prof Marcia Devlin","international graduate students; Sociocultural and linguistic diversity; academic pedagogies, professional skills shortages, recruitment practices in professions; immigration and employment policies."
APP1016737,2010,2011,"Element labeling antibodies for bio-imaging of proteins: a case study of beta-amyloid in Alzheimer's disease mouse models",,"University of Technology, Sydney","Dr Meng Wang; Miss Vi N Nguyen; A/Prof Philip A Doble; Ms Olivia Parker",
DP110104732,2010,2011,"Pooling Econometric Models for Prediction and Decision Making","The project develops methods for combining econometric models with the goal of improving prediction. It applies these methods to macroeconomic models used to improve monetary policy and to asset return models used to improve financial risk management.","University of Technology, Sydney","Prof John Geweke; Ms Jaine P Stockler","Model combination, decision making, macroeconomic forecasting, econometric models, Bayesian, Prediction"
DP1093855,2009,2010,"Graphene - the new frontier electromaterial for rechargeable lithium batteries and supercapacitors","Global warming and climate change have triggered an intensive demand for clean energy soucre4s to replace fossil fuels. Graphene, as an emerging novel material, can serve as a medium for highly efficient energy storage and conversion in electrochemical devices. This project will lead to the development of novel renewable energy storage and conversion technology for transportation and distributed energy supplies. The outcomes of this research will increase our national energy security, facilitate achievement of the Federal government's target of 20% renewable energy in 2020, and bring significant economic and environmental benefits for Australia.","University of Technology, Sydney","Prof Guoxiu Wang; Mr Nick Pappas; Dr David Wexler; Prof Andrzej Calka; Prof Feng Liu; Dr Haoshen Zhou","Graphene; Electromaterials; Rechargeable lithium Battery; Electrochemistry; Energy Store; Supercapacitor"
FT120100449,2011,2012,"Quantum Privacy: A Mathematical Foundation and Novel Solutions for Highly Secure Communications","Quantum cryptographic systems have been commercially available, with a striking advantage of mathematically provable security and privacy. This project aims to exploit the superactivation of private capacity of quantum communication channels, and to advance further the currently fragmentary theory of quantum privacy through a stronger integration of quantum information theory with suitable operator structures. Expected outcomes are innovative solutions to enable truly secure communication and their mathematical foundations. These solutions will help to safeguard the Australian society and global economies.","University of Technology, Sydney","A/Prof Runyao Duan","quantum information theory,quantum privacy,operator structures"
UTS005199,2008,2009,"Ecosystem services: A concept linking management actions and ecosystem outcomes",,"University of Technology, Sydney","Dr Roelof A Plant; Dr Scott C Rayburg; Prof Carolyn G Palmer; Ms Noni S Dowsett; Ms Olivia Parker",
DP1096475,2009,2010,"Jack Lindsay: Critic, Writer, Socialist","The aim of the project is to identify how Jack Lindsay was able to move critically across disciplines and media to create an understanding of cultural and social practices and their impact on the formation of embodies social subjects.","University of Technology, Sydney","Prof Anne Cranny-Francis; Mr Nick Pappas",
0298248,2012,2012,"Human computer interaction project for Griffith Hack [2012000087]",,"University of Technology, Sydney","Prof Toni J Robertson; Mr Craig A Archer; Ms Sheree Minchuk",
018530,,2011,"Paper on Water Demand Management for EU Project SWITCH",,"University of Technology, Sydney","Prof Stuart White; Ms Vicky Boutas",
LP0990135R2,2008,2009,"Airports of the Future","This project will enhance the capabilities of Australian airport operators to design and manage complex airport  systems. Research outcomes will enable the identification of patterns of behaviour and will provide tools to manage airport effectiveness and balance conflicting security, economic and passenger driven pressures. Outcomes will improve productivity, enhance capabilities for critical infrastructure protection, and lessen the cost of mandated  security, estimated to grow to $152M by 2010 for the five major Australian airports. The deliverables of this project will be transferable to other complex socio technical systems providing the potential to transform a range of Australian critical infrastructure and transportation hubs.","University of Technology, Sydney","Prof P K Yarlagadda; Prof Sridha Sridharan; Prof K L Mengersen; Prof Massimo Piccardi; Dr simon Denman; Dr Ruan Lakemond; Dr Clinton Fookes; Mr Jingxin Liu; Mr Ehsan  Zare Borzeshi; Mr David Ryan; Prof Dr M Rosemann; EM/Prof E P Dawson; Prof V Popovic; Dr Paul Barnes; Prof Robin M Drogemuller; Prof Nara Srinivasan; Prof Priyan Mendis; Prof Robert John Hansman; Mr Stephen Goodwin; Prof Dr Gabriel Lodewijks; Prof Ashantha Goonetilleke","Complex Systems Engineering, Business Process Modelling, Human Systems Interaction, Airport Operations Management, Surveillance and Identity Management, Risk and Emergency Management."
3.1.2-11/11,,2012,"Environmental Risk Assessment of Nanomaterials for Soil and Groundwater Remediation (3.1.2-11/11)",,"University of Technology, Sydney","Dr Hokyong Shon; Ms Kim Warburton; Mr Patutai T Toki; Ms Laura Chekli",
DP120102239,2011,2012,"Endgame: managing superannuation in later life",,"University of Technology, Sydney","Ms Hazel  Bateman; A/Prof Geoffrey Kingston; Mr George Milunovich; Prof Susan J Thorp; A/Prof Lance Fisher; Dr Nerida A Cole",
298264,2011,2012,"Review Panel for Floodzoom Initiative",,"University of Technology, Sydney","A/Prof James E Ball; Ms Debra Johnson; Ms Simone Wilkinson",
DP0986027,2008,2009,"Membranes coupled with physico-chemcial treatment in water reuse: New hybrid systems development and fouling assessment","Nanofiltration and reverse osmosis are the main polishing treatment processes used in water reuse. An effective pre-treatment is the key to alleviating the major hurdle of application of membranes, which is membrane fouling. In this study, we will (1) develop novel pre-treatment technologies by innovative coupling of submerged membrane with physico-chemical processes and (2) devise a realistic and cost-effective method to access the pre-treatment without pilot testing. This project will bring the benefits of strong international collaboration and lead to sustainable pre-treatment technologies to remove a wide range of organic contaminants.","University of Technology, Sydney","Prof Saravanamuth Vigneswaran; Dr Hokyong Shon; Prof R Ben Aim","Flocculation, Ion exchange, Fouling index, Membrane processes, Water Reuse, adsorption,"
ARDP20-UTS-2011-12,2011,2012,"Identification of products formed from reaction of oxidising adulterants with testosterone and epitestosterone in urine",,"University of Technology, Sydney","Dr Shanlin Fu; Dr Unnikrishnan Kuzhiumparambil; Ms Natalie Chung",
48379/14,,2011,"Infrastructure Urban Development (48379/14)",,"University of Technology, Sydney","Dr Juliet R Willetts; Ms Vicky Boutas",
DP0988016,2008,2009,"Discovering Activity Patterns Driven by High Impacts in Heterogeneous and Imbalanced Data","Insider trading and terrorist behaviour lead to serious adverse impacts on businesses and society.  In order to discover patterns related to such high impact activities, new pattern types need to be developed and multiform, imbalanced and heterogeneous data needs to be knowledgeably mined. Effective approaches for doing so are not currently available. We will develop innovative approaches and workable tools, algorithms and activity pattern types related to complex high impact-activity driven data. The project will contribute to the detection of high impact activity occurrences and a reduction in resulting risks in critical areas such as market surveillance and national security, and help keep Australia s global leading role in such issues.","University of Technology, Sydney","Prof Longbing Cao; Prof Chengqi Zhang","Activity Mining, Data Mining, Complex Data,"
LP100200774,2009,2010,"Detecting Significant Changes in Organisation-Customer Interactions Leading to Non-Compliance","The instant detection of risky customer/group dynamics and business policy/process changes dispersed in normal interactions can abo9d immense losses and inconsistent policies for Government and industries such as preventing Centrelink customer debt. This project will deliver novel analytical techniques and smart information use to effectively detect the above-mentioned changes leading to non-compliance. It will enhance service quality, compliance, payment accuracy and policy design for eth Austrian Government and industries such as Centrelink, FaCSIA, banking and insurance. The resulting systems, the reear3ehers trained and resulting publications will significantly enhance Australia's leading role in tackling change-driven non-compliance.","University of Technology, Sydney","Prof Longbing Cao; Mr Daniel R Di Francesco; Ms Jaine P Stockler; TBA Research-Student; A/Prof Xingquan Zhu; Prof Chengqi Zhang; Mr Hans-Michael  Bohlscheid; Dr Huaifeng Zhang; Mr Brett Barclay; Mr Yanchang  Zhao; Mr Peter George Newbigin; Miss Priya Narula","Data mining, Knowledge discovery, Pattern Discovery."
LP0989685R1,2008,2009,"Supported biomass membrane bioreactor: optimisation of aeration for better fouling control","The membrane bioreactor (MBR) technology is a combination of an activated sludge treatment with micro or ultra-filtration membranes for solid/liquid separation. MBR provides an innovative and sustainable solution for advanced treatment of domestic and industrial wastewater for reuse. However, membrane fouling poses the biggest challenge to wider application of MBR.","University of Technology, Sydney","Prof Saravanamuth Vigneswaran; A/Prof Jaya K Kandasamy; Dr Hokyong Shon; Dr Robert Sleigh; Prof R Ben Aim; Mr Amit P Chanan; Ms Karyn Joyner","Membrane bioreactor, Foulant characterisation, Supported biomass, Aeration, Wastewater treatment and reuse, Adsorption,"
632721,,2010,"The Out and About Trial: Improving quality of life by increasing outdoor journeys after stroke",,"University of Technology, Sydney","A/Prof Stephen Goodall; Ms Olivia Parker",
CMCG2852,,2009,"Interpretation of underwater video data to characterise coastal-marine habitats and biodiversity",,"University of Technology, Sydney","Prof David J Booth; Ms Kim Warburton",
DP120103328,2011,2012,"Progressive collapse resistance of reinforced concrete framed structures with membrane action",,"University of Technology, Sydney","Prof Bijan Samali; Dr Nerida A Cole; Prof Stephen J Foster; Dr Hamid Reza Valipour Goudarzi",
PP10-1778,,2011,"Exploring intercultural competency in engineering",,"University of Technology, Sydney","Ms Anne P Gardner; Mr Thomas Goldfinch; Ms Olivia Parker",
